time_s,roll_deg,pitch_deg,yaw_deg,ax_g,ay_g,az_g,amag_g,body_part
0.334,-44.069,-69.492,62.279,-0.9378,-0.6847,0.2378,1.1853,L. Wrist
0.344,-44.945,-69.553,61.791,-0.9514,-0.7244,0.2584,1.2234,L. Wrist
0.354,-45.809,-69.607,61.391,-0.9264,-0.7149,0.234,1.1934,L. Wrist
0.364,-46.778,-69.654,61.029,-0.9272,-0.7299,0.2411,1.2044,L. Wrist
0.374,-47.588,-69.696,60.615,-0.9504,-0.7237,0.2527,1.221,L. Wrist
0.384,-48.559,-69.719,60.267,-0.928,-0.7431,0.2154,1.2082,L. Wrist
0.394,-49.5,-69.72,59.923,-0.9213,-0.7552,0.2334,1.2139,L. Wrist
0.404,-50.549,-69.744,59.581,-0.9492,-0.7734,0.2172,1.2435,L. Wrist
0.414,-51.589,-69.775,59.199,-0.931,-0.7868,0.2273,1.2399,L. Wrist
0.425,-52.741,-69.75,58.792,-0.9277,-0.8054,0.2164,1.2475,L. Wrist
0.435,-53.802,-69.624,58.435,-0.9464,-0.7929,0.203,1.2512,L. Wrist
0.444,-54.897,-69.475,58.078,-0.9562,-0.8266,0.1968,1.2792,L. Wrist
0.455,-55.926,-69.338,57.659,-0.9498,-0.8114,0.2106,1.2668,L. Wrist
0.465,-57.075,-69.112,57.322,-0.9404,-0.8543,0.2056,1.287,L. Wrist
0.474,-58.147,-68.72,57.061,-0.9224,-0.8483,0.2028,1.2695,L. Wrist
0.484,-59.04,-68.482,56.748,-0.948,-0.8553,0.1942,1.2915,L. Wrist
0.494,-59.874,-68.155,56.364,-0.9201,-0.8654,0.1675,1.2742,L. Wrist
0.504,-60.571,-67.907,56.066,-0.9463,-0.8549,0.1706,1.2866,L. Wrist
0.514,-61.078,-67.779,55.761,-0.9301,-0.8892,0.1637,1.2971,L. Wrist
0.524,-61.773,-67.663,55.491,-0.9094,-0.9006,0.1727,1.2914,L. Wrist
0.534,-62.479,-67.69,55.2,-0.9106,-0.8702,0.1914,1.274,L. Wrist
0.544,-63.066,-67.641,54.93,-0.9072,-0.8993,0.1688,1.2885,L. Wrist
0.554,-63.65,-67.415,54.675,-0.9262,-0.8899,0.1568,1.294,L. Wrist
0.565,-64.275,-67.193,54.379,-0.9324,-0.8867,0.163,1.297,L. Wrist
0.574,-64.983,-67.069,54.025,-0.9273,-0.917,0.1513,1.3129,L. Wrist
0.583,-65.796,-67.088,53.749,-0.9205,-0.9243,0.1671,1.3152,L. Wrist
0.594,-66.744,-67.097,53.378,-0.932,-0.9004,0.1724,1.3073,L. Wrist
0.604,-67.552,-67.247,52.929,-0.933,-0.9328,0.1383,1.3266,L. Wrist
0.615,-68.314,-67.194,52.561,-0.9041,-0.9266,0.1238,1.3005,L. Wrist
0.625,-69.208,-67.1,52.106,-0.9269,-0.9534,0.121,1.3352,L. Wrist
0.634,-70.008,-66.983,51.632,-0.9102,-0.9328,0.1273,1.3096,L. Wrist
0.644,-70.592,-66.698,51.241,-0.936,-0.9373,0.1401,1.332,L. Wrist
0.653,-71.054,-66.395,50.845,-0.9242,-0.9388,0.1431,1.3252,L. Wrist
0.663,-71.62,-66.104,50.489,-0.9005,-0.9362,0.1283,1.3053,L. Wrist
0.674,-72.09,-65.804,50.099,-0.8929,-0.9606,0.1137,1.3164,L. Wrist
0.684,-72.508,-65.538,49.797,-0.8983,-0.9425,0.1124,1.3068,L. Wrist
0.694,-72.962,-65.188,49.412,-0.9088,-0.9745,0.1404,1.3399,L. Wrist
0.704,-73.289,-64.955,48.952,-0.8932,-0.9409,0.1093,1.3019,L. Wrist
0.715,-73.652,-64.728,48.526,-0.8888,-0.9769,0.1325,1.3273,L. Wrist
0.723,-74.164,-64.539,48.123,-0.8972,-0.96,0.134,1.3208,L. Wrist
0.735,-74.569,-64.311,47.637,-0.904,-0.9549,0.0971,1.3186,L. Wrist
0.744,-74.791,-63.923,47.12,-0.906,-0.9611,0.1083,1.3252,L. Wrist
0.754,-75.091,-63.416,46.558,-0.898,-0.9575,0.1217,1.3184,L. Wrist
0.764,-75.309,-62.749,46.08,-0.902,-0.9668,0.1001,1.326,L. Wrist
0.774,-75.626,-61.967,45.635,-0.8658,-0.9881,0.1193,1.3192,L. Wrist
0.784,-75.982,-61.074,45.235,-0.8813,-0.9792,0.1211,1.323,L. Wrist
0.795,-76.464,-60.359,44.803,-0.8833,-0.9652,0.1093,1.3129,L. Wrist
0.804,-76.888,-59.506,44.467,-0.8568,-0.9762,0.122,1.3046,L. Wrist
0.814,-77.262,-58.831,44.085,-0.8404,-0.9729,0.1082,1.2902,L. Wrist
0.824,-77.59,-58.185,43.716,-0.8613,-0.978,0.0977,1.3069,L. Wrist
0.834,-77.88,-57.665,43.362,-0.8445,-0.9663,0.1142,1.2884,L. Wrist
0.844,-78.038,-57.016,42.95,-0.852,-0.9872,0.1186,1.3094,L. Wrist
0.855,-78.274,-56.538,42.541,-0.8367,-0.9901,0.1178,1.3016,L. Wrist
0.865,-78.453,-55.925,42.08,-0.8323,-0.9899,0.126,1.2994,L. Wrist
0.874,-78.502,-55.435,41.685,-0.8305,-0.9929,0.1008,1.2984,L. Wrist
0.884,-78.597,-54.774,41.3,-0.7981,-0.979,0.1158,1.2683,L. Wrist
0.894,-78.569,-54.243,40.908,-0.8137,-0.971,0.1181,1.2724,L. Wrist
0.905,-78.57,-53.856,40.545,-0.8083,-0.9684,0.1095,1.2662,L. Wrist
0.913,-78.414,-53.522,40.26,-0.8004,-0.9908,0.1274,1.2801,L. Wrist
0.924,-78.331,-53.02,39.888,-0.7837,-0.9981,0.1384,1.2766,L. Wrist
0.934,-78.231,-52.533,39.561,-0.8056,-0.9598,0.1099,1.2579,L. Wrist
0.944,-78.024,-51.951,39.258,-0.7716,-0.9933,0.1153,1.263,L. Wrist
0.954,-77.892,-51.454,38.943,-0.7943,-0.9667,0.1262,1.2575,L. Wrist
0.965,-77.719,-50.774,38.67,-0.7881,-0.9905,0.1393,1.2734,L. Wrist
0.974,-77.452,-50.138,38.408,-0.7642,-0.9567,0.149,1.2335,L. Wrist
0.984,-77.165,-49.666,38.088,-0.7644,-0.9688,0.1466,1.2427,L. Wrist
0.994,-76.772,-49.054,37.736,-0.7403,-0.9895,0.1349,1.2432,L. Wrist
1.004,-76.582,-48.413,37.423,-0.738,-0.9771,0.1646,1.2355,L. Wrist
1.014,-76.327,-47.62,37.128,-0.7475,-0.9556,0.1436,1.2217,L. Wrist
1.024,-76.202,-46.681,36.848,-0.7437,-0.9625,0.1618,1.2271,L. Wrist
1.034,-76.054,-45.882,36.477,-0.7369,-0.9739,0.1682,1.2328,L. Wrist
1.044,-75.929,-45.135,36.19,-0.7252,-0.9689,0.1712,1.2223,L. Wrist
1.055,-75.912,-44.297,35.968,-0.7145,-0.9787,0.1694,1.2236,L. Wrist
1.064,-75.756,-43.574,35.714,-0.6914,-0.976,0.1774,1.2092,L. Wrist
1.073,-75.61,-42.758,35.513,-0.6959,-0.9791,0.1967,1.2172,L. Wrist
1.084,-75.455,-42.082,35.309,-0.654,-0.9609,0.1962,1.1787,L. Wrist
1.094,-75.407,-41.372,34.993,-0.6457,-0.9559,0.1746,1.1667,L. Wrist
1.104,-75.505,-40.722,34.683,-0.6692,-0.9735,0.1898,1.1965,L. Wrist
1.115,-75.553,-40.063,34.347,-0.6504,-0.978,0.2068,1.1926,L. Wrist
1.124,-75.543,-39.255,34.007,-0.619,-0.9762,0.1965,1.1725,L. Wrist
1.134,-75.435,-38.524,33.717,-0.6203,-0.953,0.2015,1.1548,L. Wrist
1.144,-75.491,-37.876,33.377,-0.6087,-0.968,0.2065,1.162,L. Wrist
1.155,-75.602,-37.21,33.013,-0.5953,-0.97,0.2112,1.1576,L. Wrist
1.163,-75.735,-36.485,32.65,-0.6014,-0.9852,0.1894,1.1697,L. Wrist
1.173,-75.904,-35.706,32.281,-0.583,-0.9632,0.1921,1.1422,L. Wrist
1.184,-76.121,-35.03,31.822,-0.576,-0.9822,0.1858,1.1537,L. Wrist
1.194,-76.4,-34.419,31.34,-0.5621,-0.9896,0.2081,1.1569,L. Wrist
1.205,-76.65,-33.885,30.928,-0.5661,-0.9927,0.1982,1.1598,L. Wrist
1.213,-76.927,-33.333,30.48,-0.5567,-0.9734,0.2065,1.1402,L. Wrist
1.224,-77.295,-32.864,29.983,-0.5439,-0.9646,0.1952,1.1245,L. Wrist
1.234,-77.486,-32.249,29.41,-0.5274,-0.9915,0.1643,1.135,L. Wrist
1.244,-77.482,-31.486,28.794,-0.5217,-0.9874,0.1683,1.1293,L. Wrist
1.253,-77.533,-30.849,28.274,-0.518,-0.9579,0.1704,1.1023,L. Wrist
1.264,-77.469,-30.29,27.717,-0.4895,-0.9895,0.1711,1.1171,L. Wrist
1.274,-77.493,-29.548,27.107,-0.4832,-0.9568,0.2066,1.0916,L. Wrist
1.284,-77.395,-28.798,26.586,-0.475,-0.9871,0.21,1.1154,L. Wrist
1.293,-77.254,-28.048,26.101,-0.4528,-0.9755,0.1778,1.0901,L. Wrist
1.303,-77.026,-27.187,25.665,-0.4657,-0.9932,0.2127,1.1174,L. Wrist
1.314,-76.733,-26.387,25.318,-0.4498,-0.9757,0.2152,1.0957,L. Wrist
1.323,-76.391,-25.684,24.932,-0.4224,-0.955,0.2001,1.0632,L. Wrist
1.333,-76.123,-24.97,24.537,-0.412,-0.9824,0.1975,1.0835,L. Wrist
1.344,-75.703,-24.227,24.108,-0.4136,-0.9753,0.2416,1.0865,L. Wrist
1.354,-75.179,-23.421,23.745,-0.4128,-0.9762,0.2401,1.0868,L. Wrist
1.364,-74.726,-22.792,23.316,-0.377,-0.9709,0.2229,1.0651,L. Wrist
1.375,-74.372,-22.302,22.827,-0.399,-0.9484,0.2523,1.0594,L. Wrist
1.384,-73.963,-21.72,22.345,-0.3882,-0.9746,0.2629,1.0815,L. Wrist
1.394,-73.492,-21.23,21.904,-0.3605,-0.9389,0.2678,1.0408,L. Wrist
1.405,-73.201,-20.859,21.555,-0.3585,-0.969,0.2786,1.0701,L. Wrist
1.413,-72.984,-20.549,21.115,-0.3504,-0.9703,0.2907,1.0718,L. Wrist
1.424,-72.62,-20.073,20.765,-0.3306,-0.9721,0.2834,1.0652,L. Wrist
1.434,-72.159,-19.58,20.366,-0.3367,-0.9464,0.289,1.0453,L. Wrist
1.444,-71.575,-18.956,20.037,-0.3412,-0.9465,0.2835,1.0453,L. Wrist
1.454,-70.874,-18.473,19.644,-0.3253,-0.9254,0.3133,1.0298,L. Wrist
1.464,-70.371,-17.922,19.322,-0.3065,-0.9362,0.3213,1.0362,L. Wrist
1.475,-69.914,-17.422,19.039,-0.3019,-0.9346,0.3417,1.0399,L. Wrist
1.483,-69.468,-16.978,18.687,-0.278,-0.933,0.3378,1.0305,L. Wrist
1.494,-68.881,-16.525,18.308,-0.28,-0.9212,0.3321,1.0184,L. Wrist
1.504,-68.191,-15.905,18.004,-0.2676,-0.9409,0.3653,1.0442,L. Wrist
1.514,-67.65,-15.382,17.75,-0.2849,-0.9236,0.3532,1.029,L. Wrist
1.524,-66.966,-14.804,17.456,-0.264,-0.9127,0.3594,1.0159,L. Wrist
1.535,-66.218,-14.124,17.073,-0.2483,-0.9166,0.3736,1.0205,L. Wrist
1.544,-65.635,-13.536,16.608,-0.2474,-0.8981,0.3821,1.0069,L. Wrist
1.555,-65.036,-12.878,16.099,-0.2143,-0.8929,0.3993,1.0013,L. Wrist
1.564,-64.431,-12.297,15.612,-0.2051,-0.9029,0.4126,1.0137,L. Wrist
1.574,-63.705,-11.515,15.101,-0.1981,-0.8948,0.4492,1.0207,L. Wrist
1.583,-62.837,-10.612,14.569,-0.1703,-0.8883,0.4585,1.0141,L. Wrist
1.594,-61.927,-9.741,14.063,-0.1876,-0.8769,0.4741,1.0143,L. Wrist
1.604,-61.077,-8.91,13.538,-0.154,-0.8592,0.4859,0.999,L. Wrist
1.615,-60.267,-8.205,12.985,-0.1619,-0.8791,0.5,1.0242,L. Wrist
1.625,-59.475,-7.525,12.366,-0.1344,-0.8518,0.5164,1.0052,L. Wrist
1.634,-58.705,-6.989,11.828,-0.1338,-0.8351,0.5288,0.9974,L. Wrist
1.645,-57.857,-6.585,11.235,-0.1052,-0.8588,0.5431,1.0215,L. Wrist
1.654,-56.848,-6.125,10.588,-0.0874,-0.8303,0.5415,0.9951,L. Wrist
1.665,-55.797,-5.779,9.922,-0.1185,-0.8441,0.5602,1.02,L. Wrist
1.674,-54.672,-5.365,9.263,-0.0852,-0.8254,0.5617,1.002,L. Wrist
1.684,-53.673,-4.976,8.626,-0.0795,-0.8028,0.6081,1.0102,L. Wrist
1.694,-52.644,-4.543,7.959,-0.0934,-0.7773,0.6245,1.0015,L. Wrist
1.705,-51.571,-4.055,7.283,-0.0583,-0.7958,0.6349,1.0197,L. Wrist
1.714,-50.602,-3.361,6.551,-0.0678,-0.7826,0.6398,1.0132,L. Wrist
1.724,-49.565,-2.561,5.815,-0.0581,-0.7478,0.638,0.9847,L. Wrist
1.734,-48.555,-1.787,5.171,-0.0484,-0.7596,0.6672,1.0122,L. Wrist
1.745,-47.501,-0.991,4.502,-0.012,-0.7416,0.6564,0.9904,L. Wrist
1.753,-46.612,-0.245,3.953,-0.0032,-0.725,0.6862,0.9982,L. Wrist
1.764,-45.634,0.51,3.365,0.0263,-0.7143,0.7109,1.0081,L. Wrist
1.774,-44.775,1.311,2.877,0.0315,-0.7186,0.7157,1.0147,L. Wrist
1.785,-43.874,2.035,2.351,0.0237,-0.6994,0.7205,1.0044,L. Wrist
1.794,-43.094,2.766,1.791,0.0406,-0.6919,0.726,1.0037,L. Wrist
1.806,-42.416,3.564,1.295,0.0442,-0.6668,0.7366,0.9945,L. Wrist
1.814,-41.549,4.372,0.842,0.0566,-0.6697,0.7378,0.998,L. Wrist
1.824,-40.726,5.074,0.339,0.0946,-0.6559,0.7674,1.0139,L. Wrist
1.834,-39.899,5.823,-0.154,0.0988,-0.6505,0.7591,1.0046,L. Wrist
1.844,-38.917,6.588,-0.602,0.0974,-0.6404,0.765,1.0024,L. Wrist
1.854,-38.066,7.534,-1.126,0.1205,-0.6098,0.793,1.0076,L. Wrist
1.864,-37.393,8.437,-1.58,0.1462,-0.6222,0.7955,1.0205,L. Wrist
1.874,-36.553,9.505,-2.057,0.1576,-0.5962,0.8042,1.0134,L. Wrist
1.884,-35.798,10.483,-2.466,0.1909,-0.5888,0.7965,1.0087,L. Wrist
1.894,-35.042,11.326,-2.919,0.2141,-0.5839,0.7831,1,L. Wrist
1.904,-34.381,12.188,-3.286,0.194,-0.5685,0.8227,1.0186,L. Wrist
1.913,-33.686,12.929,-3.735,0.2133,-0.5383,0.8029,0.9899,L. Wrist
1.924,-32.954,13.649,-4.147,0.2507,-0.5427,0.8092,1.0061,L. Wrist
1.934,-32.161,14.532,-4.569,0.2409,-0.5485,0.825,1.0196,L. Wrist
1.944,-31.402,15.323,-5.006,0.2836,-0.5149,0.829,1.0163,L. Wrist
1.954,-30.525,16.303,-5.507,0.2711,-0.4881,0.8129,0.9861,L. Wrist
1.964,-29.667,17.308,-5.96,0.2881,-0.4945,0.8456,1.021,L. Wrist
1.973,-28.742,18.169,-6.483,0.3089,-0.4645,0.8218,0.9933,L. Wrist
1.984,-27.659,19.075,-7.071,0.3212,-0.4657,0.8316,1.0058,L. Wrist
1.994,-26.632,20.05,-7.676,0.336,-0.437,0.8581,1.0199,L. Wrist
2.003,-25.533,20.904,-8.33,0.352,-0.4208,0.8619,1.0217,L. Wrist
2.014,-24.332,21.619,-8.973,0.3793,-0.4083,0.828,0.998,L. Wrist
2.024,-23.1,22.398,-9.659,0.3703,-0.3988,0.8311,0.9935,L. Wrist
2.034,-21.854,23.028,-10.363,0.3825,-0.3691,0.8654,1.0156,L. Wrist
2.044,-20.553,23.618,-11.049,0.408,-0.3466,0.8538,1.0077,L. Wrist
2.055,-19.454,24.201,-11.754,0.4098,-0.3192,0.864,1.0081,L. Wrist
2.065,-18.481,24.994,-12.484,0.4093,-0.3219,0.8491,0.9961,L. Wrist
2.074,-17.433,25.916,-13.09,0.4359,-0.2949,0.8604,1.0086,L. Wrist
2.084,-16.539,26.962,-13.615,0.4694,-0.2697,0.8365,0.9964,L. Wrist
2.094,-15.637,27.974,-14.051,0.4758,-0.2496,0.8512,1.0066,L. Wrist
2.104,-14.758,28.81,-14.496,0.4816,-0.2456,0.8593,1.0152,L. Wrist
2.113,-13.952,29.81,-14.875,0.4811,-0.2427,0.8227,0.9834,L. Wrist
2.123,-13.125,30.7,-15.183,0.514,-0.2232,0.8324,1.0034,L. Wrist
2.133,-12.126,31.758,-15.557,0.5431,-0.2109,0.8495,1.0301,L. Wrist
2.143,-11.257,32.696,-15.951,0.5554,-0.196,0.8369,1.0233,L. Wrist
2.154,-10.231,33.541,-16.428,0.5354,-0.1726,0.8268,1.0001,L. Wrist
2.164,-9.274,34.231,-16.843,0.5663,-0.1607,0.8017,0.9947,L. Wrist
2.174,-8.277,34.794,-17.208,0.5619,-0.1322,0.8134,0.9974,L. Wrist
2.184,-7.157,35.228,-17.551,0.5672,-0.1084,0.8295,1.0107,L. Wrist
2.194,-5.904,35.575,-17.845,0.5954,-0.0983,0.8181,1.0166,L. Wrist
2.204,-4.725,35.878,-18.166,0.595,-0.1007,0.8247,1.0218,L. Wrist
2.214,-3.564,36.071,-18.449,0.5858,-0.0695,0.8056,0.9985,L. Wrist
2.224,-2.364,36.257,-18.748,0.582,-0.0577,0.7896,0.9826,L. Wrist
2.234,-1.136,36.4,-18.977,0.5766,-0.0333,0.8068,0.9923,L. Wrist
2.244,0.169,36.806,-19.196,0.6025,0.0022,0.8191,1.0168,L. Wrist
2.253,1.379,37.204,-19.49,0.5934,0.0084,0.7901,0.9881,L. Wrist
2.264,2.587,37.668,-19.802,0.6061,0.0255,0.793,0.9984,L. Wrist
2.274,3.805,38.056,-20.171,0.6237,0.0838,0.7989,1.017,L. Wrist
2.284,5.107,38.613,-20.579,0.6383,0.0871,0.7942,1.0226,L. Wrist
2.294,6.239,39.347,-20.991,0.6145,0.0958,0.7564,0.9792,L. Wrist
2.304,7.291,39.981,-21.371,0.6304,0.135,0.7643,0.9999,L. Wrist
2.314,8.356,40.687,-21.788,0.6505,0.1458,0.7667,1.0161,L. Wrist
2.324,9.572,41.256,-22.115,0.6778,0.1716,0.725,1.0073,L. Wrist
2.334,10.631,41.888,-22.485,0.6848,0.1737,0.7345,1.0191,L. Wrist
2.344,11.735,42.551,-22.768,0.6855,0.189,0.7167,1.0096,L. Wrist
2.354,12.805,43.248,-22.991,0.6747,0.2186,0.7029,0.9985,L. Wrist
2.365,13.727,43.924,-23.214,0.6899,0.2334,0.7038,1.0128,L. Wrist
2.374,14.709,44.696,-23.387,0.7232,0.2408,0.6724,1.0164,L. Wrist
2.384,15.512,45.415,-23.52,0.7003,0.2538,0.6695,1.0015,L. Wrist
2.394,16.216,46.165,-23.679,0.7044,0.2879,0.662,1.0086,L. Wrist
2.404,16.96,47.094,-23.844,0.7523,0.2792,0.6698,1.0453,L. Wrist
2.413,17.607,47.993,-24.015,0.7303,0.3041,0.6515,1.0248,L. Wrist
2.424,18.221,48.924,-24.166,0.7373,0.3233,0.6408,1.029,L. Wrist
2.434,18.841,49.713,-24.301,0.7693,0.305,0.6146,1.0309,L. Wrist
2.444,19.645,50.408,-24.415,0.787,0.3205,0.5816,1.0297,L. Wrist
2.454,20.485,51.181,-24.541,0.7899,0.3561,0.5927,1.0498,L. Wrist
2.465,21.373,51.87,-24.686,0.7798,0.3793,0.5832,1.0451,L. Wrist
2.474,22.361,52.564,-24.779,0.8132,0.392,0.579,1.0724,L. Wrist
2.485,23.311,53.15,-24.943,0.8038,0.404,0.5428,1.0507,L. Wrist
2.494,24.312,53.744,-25.059,0.8015,0.4309,0.5237,1.0499,L. Wrist
2.503,25.153,54.355,-25.246,0.8147,0.4429,0.5247,1.0654,L. Wrist
2.515,26.069,55.008,-25.381,0.8023,0.4561,0.5098,1.0543,L. Wrist
2.525,26.991,55.817,-25.608,0.8317,0.4537,0.4891,1.0662,L. Wrist
2.535,27.983,56.708,-25.928,0.8539,0.4775,0.4777,1.0887,L. Wrist
2.544,28.876,57.736,-26.233,0.8435,0.4904,0.4809,1.0878,L. Wrist
2.554,29.914,58.906,-26.48,0.837,0.4855,0.443,1.0642,L. Wrist
2.564,30.772,59.844,-26.719,0.8581,0.5002,0.4483,1.0897,L. Wrist
2.574,31.777,60.834,-27.029,0.8861,0.5124,0.3975,1.098,L. Wrist
2.584,32.625,61.718,-27.25,0.87,0.5249,0.387,1.0873,L. Wrist
2.594,33.557,62.424,-27.405,0.8922,0.5444,0.3951,1.1174,L. Wrist
2.604,34.635,63.191,-27.498,0.891,0.5545,0.3581,1.1089,L. Wrist
2.614,35.538,63.852,-27.619,0.8848,0.5925,0.3668,1.1262,L. Wrist
